Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-766195,A1043837,,9/18/2018,39:57.6,,,,1,,,T18-766194,,,SEP.2018,FY2018
T18-741913,A1041514,,8/25/2018,59:22.3,,,,3,,,T18-741909,,,AUG.2018,FY2018
T18-779488,A1044638,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:48:00,PA,,,,30.2,,T18-779488,SURGERY-,,SEP.2018,FY2018
T18-758281,A1043008,,9/11/2018,54:04.3,,,,1,,,T18-758278,,,SEP.2018,FY2018
T18-775900,A1038115,,9/26/2018,33:42.7,,,,1,,,T18-775899,,,SEP.2018,FY2018
T18-562265,A1023178,,3/6/2018,56:15.1,,,,1,,,T18-562264,,,MAR.2018,FY2018
T18-762623,A1043418,,9/14/2018,07:48.6,,,,1,,,T18-762619,,,SEP.2018,FY2018
T18-762206,A1042902,,9/14/2018,54:26.9,,,,1,,,T18-762203,,,SEP.2018,FY2018
T18-765481,A1043729,,9/17/2018,56:31.4,,,,1,,,T18-765480,,,SEP.2018,FY2018
T18-769689,A1043798,,9/20/2018,29:37.8,,MICROCHIP (24HR PET WATCH),,,,,T18-769685,,,SEP.2018,FY2018
T18-761225,A1041091,,9/13/2018,16:49.5,,,,1,,,T18-761222,,,SEP.2018,FY2018
T18-772296,A1044344,,9/22/2018,56:59.2,,,,1,,,T18-772293,,,SEP.2018,FY2018
T18-776273,A1029973,,9/26/2018,52:07.7,,HEARTWORM TEST,NEGATIVE,,,,T18-776271,,,SEP.2018,FY2018
T18-753404,A1041593,,9/6/2018,07:49.1,,,,1,,,T18-753403,,,SEP.2018,FY2018
T18-777844,A1044865,,9/28/2018,04:46.4,,,,1,,,T18-777840,,,SEP.2018,FY2018
T18-760224,A1009144,,9/12/2018,55:20.2,,,,1,,,T18-760221,,,SEP.2018,FY2018
T18-693552,A0776646,UNKNOWN,7/16/2018,16:05:00,,,,,,,T18-693552,HEALTH MAINTENANCE,,JUL.2018,FY2018
T18-773716,A1044521,,9/24/2018,27:14.6,,,,1,,,T18-773712,,,SEP.2018,FY2018
T18-779805,A1045001,,9/29/2018,51:56.8,,,,1,,,T18-779803,,,SEP.2018,FY2018
T18-780277,A1045084,,9/30/2018,42:17.9,,,,1,,,T18-780273,,,SEP.2018,FY2018
T18-773524,A1044506,,9/24/2018,27:38.5,,MICROCHIP (24HR PET WATCH),,,,,T18-773518,,,SEP.2018,FY2018
T18-765484,A1043729,,9/17/2018,56:54.8,,,,1,,,T18-765480,,,SEP.2018,FY2018
T18-762571,A1040389,UNKNOWN,9/14/2018,13:28:00,LY,,,,,,T18-762571,MEDICAL REVIEW,,SEP.2018,FY2018
T18-771592,A1043194,UNKNOWN,9/22/2018,12:47:00,AG/AG2,,,,55,,T18-771592,EXAM-VET,,SEP.2018,FY2018
T18-756001,A1040044,,9/8/2018,34:35.5,,MICROCHIP (24HR PET WATCH),,,,,T18-756000,,,SEP.2018,FY2018
T18-752581,A1040494,,9/5/2018,34:35.7,,,,1,,,T18-752560,,,SEP.2018,FY2018
T18-775180,A1044638,,9/25/2018,35:34.3,,,,1,,,T18-775175,,,SEP.2018,FY2018
T18-776561,A1044726,,9/26/2018,47:20.3,,,,1,,,T18-776560,,,SEP.2018,FY2018
T18-779738,A1045011,,9/29/2018,22:10.7,,MICROCHIP (24HR PET WATCH),,,,,T18-779737,,,SEP.2018,FY2018
T18-768742,A1043995,,9/20/2018,10:38.6,,,,1,,,T18-768740,,,SEP.2018,FY2018
T18-755943,A1039618,,9/8/2018,50:09.1,,MICROCHIP (HOME AGAIN),,,,,T18-755942,,,SEP.2018,FY2018
T18-773362,A1044464,,9/24/2018,48:59.5,,MICROCHIP (24HR PET WATCH),,,,,T18-773361,,,SEP.2018,FY2018
T18-769223,A1044092,,9/20/2018,47:54.6,,,,3,,,T18-769216,,,SEP.2018,FY2018
T18-750740,A1042277,,9/3/2018,26:22.1,,,,1,,,T18-750738,,,SEP.2018,FY2018
T18-765734,A1043799,,9/17/2018,15:59.0,,,,1,,,T18-765731,,,SEP.2018,FY2018
T18-562244,A1023178,,3/5/2018,23:34.1,,,,1,,,T18-562242,,,MAR.2018,FY2018
T18-776286,A1044733,,9/26/2018,56:35.9,,,,1,,,T18-776283,,,SEP.2018,FY2018
T18-779570,A1045004,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,14:26:00,NG/AG2,,,,25,,T18-779570,INTAKE EXAM,,SEP.2018,FY2018
T18-780743,A1039538,,9/30/2018,20:37.9,,,,1,,,T18-780738,,,SEP.2018,FY2018
T18-777152,A1044207,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,14:04:00,LV,,,,,,T18-777152,EXAM-VISUAL,,SEP.2018,FY2018
T18-780525,A1045105,,9/30/2018,26:31.7,,,,1,,,T18-780521,,,SEP.2018,FY2018
T18-769688,A1043798,,9/20/2018,29:34.0,,,,1,,,T18-769685,,,SEP.2018,FY2018
T18-773518,A1044506,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,13:26:00,LS,,,,40.4,,T18-773518,EXAM - ADOPTION,,SEP.2018,FY2018
T18-757081,A1042597,,9/9/2018,18:47.8,,,,1,,,T18-757080,,,SEP.2018,FY2018
T18-779799,A1045042,,9/29/2018,51:11.2,,,,1,,,T18-779794,,,SEP.2018,FY2018
T18-778294,A1043329,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,12:54:00,LV,,,,,,T18-778294,EXAM-VISUAL,,SEP.2018,FY2018
T18-773542,A1044499,,9/24/2018,31:24.9,,MICROCHIP (24HR PET WATCH),,,,,T18-773541,,,SEP.2018,FY2018
T18-768546,A1044039,UNKNOWN,9/19/2018,23:05:00,,,,,,,T18-768546,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-780173,A1045059,,9/30/2018,43:34.3,,,,1,,,T18-780171,,,SEP.2018,FY2018
T18-771105,A1044242,,9/21/2018,00:18.2,,HEARTWORM TEST,NEGATIVE,,,,T18-771103,,,SEP.2018,FY2018
T18-780681,A1045112,,9/30/2018,08:09.3,,MICROCHIP (24HR PET WATCH),,,,,T18-780675,,,SEP.2018,FY2018
T18-781268,A1044482,,9/30/2018,46:44.7,,,,1,,,T18-780345,,,SEP.2018,FY2018
T18-777740,A1044844,,9/27/2018,20:53.7,,,,1,,,T18-777737,,,SEP.2018,FY2018
T18-733540,A1040389,,8/18/2018,34:00.5,,,,1,,,T18-733538,,,AUG.2018,FY2018
T18-772626,A1044292,,9/23/2018,59:32.0,,HEARTWORM TEST,NEGATIVE,,,,T18-772614,,,SEP.2018,FY2018
T18-763021,A1043474,,9/14/2018,33:53.4,,,,1,,,T18-763019,,,SEP.2018,FY2018
T18-770373,A1043245,TREATABLE REHABILITABLE CONTAGIOUS,9/21/2018,11:50:00,AG,,,,,,T18-770373,EXAM-VISUAL,,SEP.2018,FY2018
T18-778432,A1044528,,9/28/2018,38:10.8,,,,1,,,T18-778431,,,SEP.2018,FY2018
T18-614823,A1028950,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/5/2018,6:28:00,EPOOLE,,,,5,,T18-614823,INTAKE EXAM,,MAY.2018,FY2018
T18-780586,A1045106,,9/30/2018,05:23.2,,,,1,,,T18-780578,,,SEP.2018,FY2018
T18-773472,A1044487,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,13:00:00,SR.ER,,,,47.2,,T18-773472,EXAM - ADOPTION,,SEP.2018,FY2018
T18-750086,A1040044,UNKNOWN,9/2/2018,21:43:00,,,,,,,T18-750086,VET CHECK,,SEP.2018,FY2018
T18-771194,A1044251,,9/21/2018,57:11.1,,,,1,,,T18-771191,,,SEP.2018,FY2018
T18-736666,A1041104,,8/21/2018,09:47.1,,,,1,,,T18-736663,,,AUG.2018,FY2018
T18-777676,A1044735,TREATABLE MANAGEABLE CONTAGIOUS,9/27/2018,18:15:00,,,,,,,T18-777676,EXAM-VET,,SEP.2018,FY2018
T18-777697,A1044841,,9/27/2018,52:01.1,,MICROCHIP (24HR PET WATCH),,,,,T18-777690,,,SEP.2018,FY2018
T18-778780,A1044778,,9/28/2018,53:37.6,,MICROCHIP (24HR PET WATCH),,,,,T18-778778,,,SEP.2018,FY2018
T18-763081,A1043486,,9/14/2018,43:32.3,,,,1,,,T18-762952,,,SEP.2018,FY2018
T18-780233,A1045075,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,12:19:00,,,,,,,T18-780233,INTAKE EXAM,,SEP.2018,FY2018
T18-725122,A1040044,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/12/2018,13:40:00,TH1725,,,,1,,T18-725122,INTAKE EXAM,,AUG.2018,FY2018
T18-777372,A1043008,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,15:44:00,LV,,,,37,,T18-777372,MEDICAL REVIEW,,SEP.2018,FY2018
T18-755315,A1042686,,9/7/2018,12:04.7,,,,1,,,T18-755314,,,SEP.2018,FY2018
T18-772286,A1044273,,9/22/2018,52:45.2,,HEARTWORM TEST,NEGATIVE,,,,T18-772284,,,SEP.2018,FY2018
T18-777593,A1044818,,9/27/2018,05:47.2,,,,1,,,T18-777589,,,SEP.2018,FY2018
T18-766885,A1043521,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,16:20:00,PA,,,,41,,T18-766885,SURGERY-,,SEP.2018,FY2018
T18-770669,A1044208,,9/21/2018,20:45.5,,,,1,,,T18-770668,,,SEP.2018,FY2018
T18-776814,A1044768,,9/27/2018,26:39.7,,,,1,,,T18-776811,,,SEP.2018,FY2018
T18-604939,A0776646,UNKNOWN,4/23/2018,18:02:00,ER,,,,,,T18-604939,HEALTH MAINTENANCE,,APR.2018,FY2018
T18-775087,A1044078,UNKNOWN,9/25/2018,16:32:00,SR,,,,,,T18-775087,SURGERY-,,SEP.2018,FY2018
T18-756862,A0894843,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/9/2018,15:53:00,NG,,,,,,T18-756862,EXAM-VISUAL,,SEP.2018,FY2018
T18-763142,A1043421,,9/15/2018,01:45.4,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-763141,,,SEP.2018,FY2018
T18-780371,A1045096,,9/30/2018,09:54.3,,,,1,,,T18-780362,,,SEP.2018,FY2018
T18-776697,A1042685,,9/27/2018,06:16.3,,,,1,,,T18-776696,,,SEP.2018,FY2018
T18-775395,A1043923,,9/26/2018,04:16.7,,,,1,,,T18-775393,,,SEP.2018,FY2018
T18-771929,A1044307,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,15:08:00,SR/ER,,,,1.6,,T18-771929,INTAKE EXAM,,SEP.2018,FY2018
T18-774439,A1042830,TREATABLE REHABILITABLE CONTAGIOUS,9/25/2018,11:45:00,AG,,,,38,,T18-774439,VET CHECK,,SEP.2018,FY2018
T18-780521,A1045105,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,15:26:00,,,,,13.8,,T18-780521,INTAKE EXAM,,SEP.2018,FY2018
T17-469481,A1014087,UNKNOWN,11/11/2017,14:18:00,ER/AVS,,,,,,T17-469481,HEALTH MAINTENANCE,,NOV.2017,FY2018
T18-754815,A1041560,UNKNOWN,9/7/2018,12:56:00,AG,,,,49,,T18-754815,EXAM-VISUAL,,SEP.2018,FY2018
T18-779345,A1044957,,9/29/2018,19:35.6,,,,1,,,T18-779341,,,SEP.2018,FY2018
T18-549422,A1021571,,2/19/2018,22:42.5,,,,1,,,T18-549419,,,FEB.2018,FY2018
T18-740838,A1040041,UNKNOWN,8/24/2018,18:54:00,,,,,,,T18-740838,VET CHECK,,AUG.2018,FY2018
T18-780093,A0942995,,9/30/2018,58:09.0,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-780092,,,SEP.2018,FY2018
T18-779588,A1045026,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,14:58:00,,,,,,,T18-779588,INTAKE EXAM,,SEP.2018,FY2018
T18-774879,A1044612,,9/25/2018,27:40.6,,HEARTWORM TEST,NEGATIVE,,,,T18-774876,,,SEP.2018,FY2018
T18-773887,A1044541,,9/24/2018,45:58.4,,,,1,,,T18-773885,,,SEP.2018,FY2018
T18-739690,A1041321,,8/23/2018,11:20.0,,,,1,,,T18-739689,,,AUG.2018,FY2018
T18-775964,A1040272,,9/26/2018,49:36.9,,,,1,,,T18-775951,,,SEP.2018,FY2018
T18-751374,A1042121,,9/4/2018,39:55.3,,,,1,,,T18-751370,,,SEP.2018,FY2018
T18-780581,A1045115,,9/30/2018,04:32.6,,,,1,,,T18-780579,,,SEP.2018,FY2018
T18-774318,A1043839,,9/25/2018,44:32.7,,,,3,,,T18-774311,,,SEP.2018,FY2018
T18-761884,A1043329,,9/13/2018,56:25.3,,,,1,,,T18-761883,,,SEP.2018,FY2018
T18-750760,A1042065,TREATABLE REHABILITABLE CONTAGIOUS,9/3/2018,14:04:00,AG,,,,,,T18-750760,MEDICAL REVIEW,,SEP.2018,FY2018
T18-653654,A1032573,,6/11/2018,35:02.6,,,,3,,,T18-653648,,,JUN.2018,FY2018
T18-767065,A1043907,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/18/2018,21:28:00,JS1753,,,,51.5,,T18-767065,INTAKE EXAM,,SEP.2018,FY2018
T18-741934,A1041513,,8/25/2018,02:50.0,,MICROCHIP (HOME AGAIN),,,,,T18-741933,,,AUG.2018,FY2018
T18-767504,A1041629,,9/19/2018,12:27.3,,,,1,,,T18-767503,,,SEP.2018,FY2018
T18-767224,A1043787,,9/19/2018,18:06.8,,,,3,,,T18-767218,,,SEP.2018,FY2018
T18-772360,A1044349,,9/22/2018,30:11.7,,,,1,,,T18-772359,,,SEP.2018,FY2018
T18-769692,A1043798,,9/20/2018,29:45.0,,HEARTWORM TEST,,,,,T18-769685,,,SEP.2018,FY2018
T18-733629,A1040394,,8/18/2018,29:49.9,,,,1,,,T18-733620,,,AUG.2018,FY2018
T18-780572,A0942995,,9/30/2018,59:20.4,,,,1,,,T18-780566,,,SEP.2018,FY2018
T18-739689,A1041321,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/23/2018,23:10:00,,,,,,,T18-739689,INTAKE EXAM,,AUG.2018,FY2018
T18-771784,A1040041,,9/22/2018,56:47.6,,,,1,,,T18-771778,,,SEP.2018,FY2018
T18-755321,A1042687,,9/7/2018,13:26.2,,,,1,,,T18-755319,,,SEP.2018,FY2018
T18-771903,A1044305,,9/22/2018,59:26.2,,,,1,,,T18-771899,,,SEP.2018,FY2018
T18-777928,A1030811,,9/28/2018,06:47.7,,,,1,,,T18-777926,,,SEP.2018,FY2018
T18-779269,A1044981,,9/29/2018,54:35.9,,,,1,,,T18-779265,,,SEP.2018,FY2018
T18-762379,A1043430,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,11:59:00,,,,,,,T18-762379,INTAKE EXAM,,SEP.2018,FY2018
T18-743120,A1041629,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/27/2018,12:29:00,SR,,,,1.3,,T18-743120,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-773997,A1044550,,9/24/2018,12:56.1,,,,1,,,T18-773996,,,SEP.2018,FY2018
T18-777230,A1042973,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,14:58:00,LV,,,,4.5,101.3,T18-777230,EXAM-VISUAL,,SEP.2018,FY2018
T18-769936,A1043923,,9/20/2018,17:48.3,,,,1,,,T18-769933,,,SEP.2018,FY2018
T18-763024,A1043474,,9/14/2018,34:14.8,,,,1,,,T18-763019,,,SEP.2018,FY2018
T18-736675,A1041104,,8/21/2018,10:24.4,,,,1,,,T18-736663,,,AUG.2018,FY2018
T18-774919,A1026634,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/25/2018,14:43:00,PA,,,,6.3,,T18-774919,SURGERY-,,SEP.2018,FY2018
T18-728788,A1038741,,8/15/2018,55:19.1,,,,1,,,T18-728787,,,AUG.2018,FY2018
T18-679283,A1035128,,7/4/2018,05:50.2,,,,3,,,T18-679277,,,JUL.2018,FY2018
T18-770129,A1043936,,9/21/2018,39:32.0,,,,1,,,T18-770125,,,SEP.2018,FY2018
T18-768808,A1043194,,9/20/2018,33:01.0,,,,1,,,T18-768800,,,SEP.2018,FY2018
T18-777917,A1044506,,9/28/2018,54:03.0,,,,1,,,T18-777913,,,SEP.2018,FY2018
T18-776394,A1044699,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,18:28:00,NG,,,,15.2,,T18-776394,EXAM - ADOPTION,,SEP.2018,FY2018
T18-773974,A0955812,,9/24/2018,29:06.7,,HEARTWORM TEST,NEGATIVE,,,,T18-773969,,,SEP.2018,FY2018
T18-764497,A0997937,,9/16/2018,57:11.6,,HEARTWORM TEST,NEGATIVE,,,,T18-764230,,,SEP.2018,FY2018
T18-781205,A1044771,,9/27/2018,54:41.4,,,,1,,,T18-777867,,,SEP.2018,FY2018
T18-762935,A1040394,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,17:30:00,NG,,,,,,T18-762935,EXAM-VISUAL,,SEP.2018,FY2018
T18-779682,A1045025,,9/29/2018,57:43.9,,,,1,,,T18-779675,,,SEP.2018,FY2018
T18-779031,A1041514,,9/29/2018,09:09.9,,,,1,,,T18-779023,,,SEP.2018,FY2018
T18-779732,A1045033,,9/29/2018,16:33.2,,,,1,,,T18-779728,,,SEP.2018,FY2018
T18-775622,A0998346,,9/26/2018,51:11.2,,,,1,,,T18-775621,,,SEP.2018,FY2018
T18-776329,A1044730,,9/26/2018,17:06.8,,,,1,,,T18-776318,,,SEP.2018,FY2018
T18-778418,A1044908,,9/28/2018,34:21.4,,,,1,,,T18-778413,,,SEP.2018,FY2018
T18-564423,A1023378,,3/7/2018,56:32.6,,,,1,,,T18-564419,,,MAR.2018,FY2018
T18-779822,A0929156,,9/29/2018,04:52.3,,,,1,,,T18-779817,,,SEP.2018,FY2018
T18-780183,A1045061,,9/30/2018,44:44.6,,,,1,,,T18-780180,,,SEP.2018,FY2018
T18-775462,A1043892,TREATABLE REHABILITABLE CONTAGIOUS,9/26/2018,10:57:00,AG,,,,28,,T18-775462,VET CHECK,,SEP.2018,FY2018
T18-779692,A1045021,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,16:01:00,AG2,,,,1.1,,T18-779692,INTAKE EXAM,,SEP.2018,FY2018
T18-779709,A1044975,,9/29/2018,11:19.5,,,,1,,,T18-779708,,,SEP.2018,FY2018
T18-776218,A1044357,,9/26/2018,58:35.6,,MICROCHIP (24HR PET WATCH),,,,,T18-776210,,,SEP.2018,FY2018
T18-750063,A1042211,UNKNOWN,9/2/2018,19:33:00,,,,,,,T18-750063,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-780045,A0991720,,9/30/2018,58:24.8,,,,1,,,T18-780044,,,SEP.2018,FY2018
T18-775710,A1044369,,9/26/2018,18:30.9,,,,1,,,T18-775703,,,SEP.2018,FY2018
T18-779451,A1044985,,9/29/2018,43:38.6,,MICROCHIP (24HR PET WATCH),,,,,T18-779450,,,SEP.2018,FY2018
T18-777087,A1021003,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,13:22:00,OB,,,,11,,T18-777087,INTAKE EXAM,,SEP.2018,FY2018
T18-768233,A1042383,,9/19/2018,11:52.1,,,,1,,,T18-768230,,,SEP.2018,FY2018
T18-755333,A1042493,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/7/2018,17:22:00,LV,,,,2.4,,T18-755333,EXAM - ADOPTION,,SEP.2018,FY2018
T18-777889,A1044557,,9/28/2018,34:17.2,,,,1,,,T18-777884,,,SEP.2018,FY2018
T18-778424,A1044699,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,13:34:00,PA,,,,16.6,,T18-778424,SURGERY-,,SEP.2018,FY2018
T18-769003,A1044041,,9/20/2018,32:54.3,,,,1,,,T18-768998,,,SEP.2018,FY2018
T17-460970,A1009144,HEALTHY,11/1/2017,10:40:00,PA,,,,3,,T17-460970,SURGERY-,,NOV.2017,FY2018
T18-750955,A1041089,TREATABLE REHABILITABLE CONTAGIOUS,9/4/2018,10:58:00,KELLYS,,,,,,T18-750955,EXAM-VET,,SEP.2018,FY2018
T18-765732,A1043799,,9/17/2018,15:18.8,,,,1,,,T18-765731,,,SEP.2018,FY2018
T18-728338,A1040389,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/14/2018,17:06:00,SR,,,,47.2,,T18-728338,INTAKE EXAM,,AUG.2018,FY2018
T18-772578,A1044384,,9/23/2018,07:30.1,,,,1,,,T18-772574,,,SEP.2018,FY2018
T18-778828,A1044839,,9/28/2018,08:15.9,,,,1,,,T18-778822,,,SEP.2018,FY2018
T18-778892,A1044935,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,18:24:00,AG2,,,,8.2,,T18-778892,INTAKE EXAM,,SEP.2018,FY2018
T18-780367,A1045048,,9/30/2018,09:38.4,,,,1,,,T18-780363,,,SEP.2018,FY2018
T18-776846,A1044450,,9/27/2018,45:58.2,,,,1,,,T18-776838,,,SEP.2018,FY2018
T18-777026,A1044791,,9/27/2018,56:36.0,,,,1,,,T18-777023,,,SEP.2018,FY2018
T18-776675,A1044357,,9/27/2018,51:26.1,,,,1,,,T18-776671,,,SEP.2018,FY2018
T18-748990,A0894843,,9/1/2018,08:08.2,,,,1,,,T18-748984,,,SEP.2018,FY2018
T18-779321,A1044989,,9/29/2018,12:50.0,,,,1,,,T18-779318,,,SEP.2018,FY2018
T18-773774,A1044292,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,16:20:00,OB,,,,,,T18-773774,EXAM-VISUAL,,SEP.2018,FY2018
T18-776113,A1029973,,9/26/2018,40:00.6,,,,1,,,T18-776111,,,SEP.2018,FY2018
T18-777355,A1044829,,9/27/2018,53:35.0,,,,1,,,T18-777354,,,SEP.2018,FY2018
T18-771814,A1039622,,9/22/2018,08:05.4,,,,1,,,T18-771813,,,SEP.2018,FY2018
T18-752338,A1042355,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/5/2018,11:51:00,,,,,5.8,,T18-752338,EXAM-VET,,SEP.2018,FY2018
T18-780642,A1044974,,9/30/2018,33:26.0,,,,1,,,T18-780636,,,SEP.2018,FY2018
T18-772361,A1044349,,9/22/2018,30:17.4,,,,1,,,T18-772359,,,SEP.2018,FY2018
T18-748373,A1042057,,9/1/2018,53:07.5,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-748338,,,SEP.2018,FY2018
T18-778699,A1042597,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,15:25:00,LV,,,,,,T18-778699,MEDICAL REVIEW,,SEP.2018,FY2018
T18-780552,A1045112,,9/30/2018,43:30.4,,,,1,,,T18-780550,,,SEP.2018,FY2018
T18-780577,A0942995,,9/30/2018,02:19.9,,,,1,,,T18-780566,,,SEP.2018,FY2018
T18-757486,A1042899,,9/10/2018,52:27.4,,,,1,,,T18-757484,,,SEP.2018,FY2018
T18-775766,A0997937,,9/26/2018,30:29.3,,,,14,,,T18-775762,,,SEP.2018,FY2018
T18-770168,A1044122,,9/21/2018,09:50.0,,,,1,,,T18-770167,,,SEP.2018,FY2018
T18-772155,A1044310,,9/22/2018,34:58.5,,,,1,,,T18-772145,,,SEP.2018,FY2018
T18-530857,A1020026,,1/29/2018,57:28.4,,,,3,,,T18-530851,,,JAN.2018,FY2018
T18-780566,A0942995,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/30/2018,15:56:00,,,,,53.6,,T18-780566,EXAM-VET,,SEP.2018,FY2018
T18-744440,A1041358,,8/28/2018,39:50.5,,,,1,,,T18-744433,,,AUG.2018,FY2018
T18-710525,A1038741,,7/31/2018,53:49.0,,MICROCHIP (HOME AGAIN),,,,,T18-710512,,,JUL.2018,FY2018
T18-768734,A1043994,TREATABLE REHABILITABLE CONTAGIOUS,9/20/2018,11:04:00,SR,,,,12.8,,T18-768734,MEDICAL REVIEW,,SEP.2018,FY2018
T18-765096,A1043681,,9/17/2018,13:00.6,,MICROCHIP (24HR PET WATCH),,,,,T18-765095,,,SEP.2018,FY2018
T18-757487,A1042899,,9/10/2018,52:35.1,,,,14,,,T18-757484,,,SEP.2018,FY2018
T18-772664,A1014334,TREATABLE REHABILITABLE CONTAGIOUS,9/23/2018,12:21:00,SR,,,,,,T18-772664,EXAM-VISUAL,,SEP.2018,FY2018
T18-776577,A1044756,,9/27/2018,47:31.2,,,,1,,,T18-776574,,,SEP.2018,FY2018
T18-774200,A1044556,,9/25/2018,08:53.2,,,,1,,,T18-774191,,,SEP.2018,FY2018
T18-778123,A1044862,,9/28/2018,42:45.6,,,,1,,,T18-778119,,,SEP.2018,FY2018
T18-778379,A1043430,,9/28/2018,10:13.8,,,,1,,,T18-778378,,,SEP.2018,FY2018
T18-699925,A1037740,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/21/2018,21:16:00,YL1695,,,,,,T18-699925,INTAKE EXAM,,JUL.2018,FY2018
T18-578722,A1024911,,3/24/2018,18:04.9,,,,1,,,T18-578721,,,MAR.2018,FY2018
T18-780752,A1045119,,9/30/2018,25:39.7,,MICROCHIP (24HR PET WATCH),,,,,T18-780751,,,SEP.2018,FY2018
T18-729543,A1040481,,8/15/2018,18:53.6,,,,1,,,T18-729540,,,AUG.2018,FY2018
T18-782813,A1044109,,9/29/2018,12:36.5,,,,14,,,T18-782812,,,SEP.2018,FY2018
T18-778359,A1043418,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,13:05:00,AG2/ER,,,,,,T18-778359,EXAM,,SEP.2018,FY2018
T18-633333,A1030811,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/23/2018,10:44:00,SR1,,,,3.7,,T18-633333,EXAM - ADOPTION,,MAY.2018,FY2018
T18-776663,A1044529,UNKNOWN,9/27/2018,9:42:00,,,,,,,T18-776663,VET CHECK,,SEP.2018,FY2018
T18-780553,A1045112,,9/30/2018,43:42.0,,,,1,,,T18-780550,,,SEP.2018,FY2018
T18-779827,A1045043,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,17:04:00,KH,,,,34,,T18-779827,INTAKE EXAM,,SEP.2018,FY2018
T18-769707,A1043806,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,16:32:00,LV,,,,32,,T18-769707,EXAM - ADOPTION,,SEP.2018,FY2018
T18-604207,A1026634,,4/23/2018,15:38.9,,,,1,,,T18-604203,,,APR.2018,FY2018
T18-779091,A1044729,,9/29/2018,36:26.6,,,,1,,,T18-779088,,,SEP.2018,FY2018
T18-776133,A1044672,,9/26/2018,11:13.1,,,,1,,,T18-776132,,,SEP.2018,FY2018
T18-780620,A1045110,,9/30/2018,17:24.8,,,,1,,,T18-780593,,,SEP.2018,FY2018
T18-780690,A1043558,UNKNOWN,9/30/2018,17:10:00,,,,,,,T18-780690,VET CHECK,,SEP.2018,FY2018
T18-781295,A1044482,,9/30/2018,56:23.5,,,,10,,,T18-780345,,,SEP.2018,FY2018
T18-752275,A1042383,,9/5/2018,35:17.6,,MICROCHIP (HOME AGAIN),,,,,T18-752219,,,SEP.2018,FY2018
T18-774156,A1044481,,9/25/2018,44:28.0,,HEARTWORM TEST,NEGATIVE,,,,T18-774152,,,SEP.2018,FY2018
T18-778807,A1044641,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,17:02:00,,,,,,,T18-778807,SURGERY EXM,,SEP.2018,FY2018
T18-764604,A1042902,,9/16/2018,59:08.1,,,,14,,,T18-764596,,,SEP.2018,FY2018
